nom,epoch,trial,battery,station,target,reward,state,action,x,y,done,fail,other
[0, 0, 1, 97.5, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 0, 2, 96.0, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 0, 3, 94.5, 99, 99, -1, 35, 2, 9, 5, 0, 0, 0]
[0, 0, 4, 93.0, 90.7146157431864, 94.70395779819081, -1, 35, 1, 1, 0, 0, 0, 0]
[0, 0, 5, 91.5, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 0, 6, 90.0, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 0, 7, 88.5, 90.7146157431864, 94.70395779819081, -1, 35, 2, 1, 0, 0, 0, 0]
[0, 0, 8, 87.0, 86.00570406708773, 86.00570406708773, -1, 35, 0, 1, 1, 0, 0, 0]
[0, 0, 9, 85.5, 82.15683345296888, 77.52449399906664, -1, 35, 0, 1, 2, 0, 0, 0]
[0, 0, 10, 84.0, 73.23121821159823, 73.23121821159823, -1, 35, 1, 2, 2, 0, 0, 0]
[0, 0, 11, 82.5, 64.5042780503158, 70.0035713374682, -1, 35, 1, 3, 2, 0, 0, 0]
[0, 0, 12, 81.0, 56.06885928153056, 67.99347915460106, -1, 34, 1, 4, 2, 0, 0, 0]
[0, 0, 13, 79.5, 48.07865018668458, 67.3101102613584, -1, 34, 1, 5, 2, 0, 0, 0]
[0, 0, 14, 78.0, 40.796087492760634, 67.99347915460106, -1, 34, 1, 6, 2, 0, 0, 0]
[0, 0, 15, 76.5, 34.670007700637505, 70.0035713374682, 5, 34, 1, 7, 2, 0, 0, 0]
[0, 0, 16, 75.0, 27.19739166184043, 60.81521656656117, 5, 33, 0, 7, 3, 0, 0, 0]
[0, 0, 17, 73.5, 21.501426016771934, 64.5042780503158, 5, 30, 1, 8, 3, 0, 0, 0]
[0, 0, 18, 72.0, 13.598695830920215, 56.06885928153056, 5, 30, 1, 8, 4, 0, 0, 0]
[0, 0, 19, 69.75, 9.615730037336915, 61.57071406268307, 5, 30, 1, 9, 4, 0, 0, 0]
[0, 0, 20, 67.5, 0, 54.39478332368086, 5, 21, 1, 9, 5, 1, 0, 0]
